Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.04879679144385027,1,1,0.2149428180068752,0.0,1.0,,4.8966461055139625,0.0,0,1,1.0,0.2564491151145102,0.0,0,1,,0,1735589,norbusan,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04909213180901143,2,0,0.5,19.588095238095242,4.0,,0.0,,5,7,-0.42857142857142855,0.5,,0,,,7,26446962,invexx,1970-01-01T01:00:00.000+01:00,2018-08-28T05:16:01.000+02:00
0,0.04821664464993395,7,4,0.4829251736390246,107.33333333333334,4.0,,5.892871837027698,0.0,0,7,1.0,0.2435350747935729,0.0,0,7,,10,4095021,collinss,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04856952761144378,2,2,0.3597076934801957,6.0,2.0,,6.281281959901598,0.0,0,2,1.0,0.21359155409343736,0.0,0,2,,12,6322481,brownsr,1970-01-01T01:00:00.000+01:00,2019-10-19T19:05:08.000+02:00
0,0.04670505438259757,2,0,0.5432594683105412,0.0,2.0,,6.257728828077637,,3,5,-0.2,0.20237000813015477,,0,,,19,11470532,Zeustopher,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04879679144385027,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,14,8754997,GabrielMGitHub,1970-01-01T01:00:00.000+01:00,2017-06-06T00:18:23.000+02:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,32,12522078,ltgouvea,1970-01-01T01:00:00.000+01:00,2019-07-26T20:47:37.000+02:00
0,0.04828042328042328,1,0,0.5,54.0,3.0,,0.0,,3,4,-0.5,0.5,,0,,,9,17271565,madanh,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,2,0,0.5,0.0,1.0,,0.0,,2,4,0.0,0.5,,0,,,51,20357500,veryangryman,1970-01-01T01:00:00.000+01:00,2019-09-09T21:59:16.000+02:00
0,0.04879679144385027,1,1,0.12765780528310955,0.0,1.0,,5.476261076031047,0.0,0,1,1.0,0.1613129057676984,0.0,0,1,,0,1238070,SavageTiger,1970-01-01T01:00:00.000+01:00,2017-06-06T13:41:03.000+02:00
0,0.050034270047978065,2,0,0.5,25.925,5.0,,0.0,,6,8,-0.5,0.5,,0,,,29,550561,mgrb,1970-01-01T01:00:00.000+01:00,2018-09-02T22:03:00.000+02:00
