Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,96,25500496,cruftytheclown,1970-01-01T01:00:00.000+01:00,2017-02-10T23:06:05.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,100,20399374,speden,1970-01-01T01:00:00.000+01:00,2019-06-23T14:22:47.000+02:00
0,0.018862066288907863,2,1,0.8963583983133365,0.0,1.0,,5.950077774067229,0.0,0,2,1.0,0.3086035068262912,0.0,0,2,,21,16520683,brkeh,1970-01-01T01:00:00.000+01:00,2018-03-09T16:11:26.000+01:00
0,0.004149235891744216,1,1,0.0021897463109002953,0.0,1.0,,7.583437285788977,0.0,0,1,1.0,0.2735124569922345,0.0,0,1,,8,34213903,mrdrthom,1970-01-01T01:00:00.000+01:00,2019-06-15T10:21:58.000+02:00
1,0.019151954602774274,16,0,0.3935877592258874,761.0,6.0,,6.221420669105762,,26,42,-0.23809523809523808,0.24184290423826996,,0,,,13,8415124,NikoKrause,1970-01-01T01:00:00.000+01:00,2018-11-15T11:10:26.000+01:00
0,0.019138379144679845,5,0,0.260247737339369,0.0,2.0,,4.737226181416827,,7,12,-0.16666666666666666,0.4088194652167001,,0,,,61,11800714,oberon-manjaro,1970-01-01T01:00:00.000+01:00,2017-05-28T11:57:02.000+02:00
1,0.019174623214708437,8,3,0.45751159153348736,400.6666666666667,4.0,,6.3206490984574755,0.0,7,15,0.06666666666666667,0.20565910378689897,0.0,0,4,,34,11601860,itzexor,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018895800933125973,8,2,0.3700855314992984,192.0,3.0,,6.407056010564608,0.0,2,10,0.6,0.22189510720478628,0.0,2,6,,0,6551424,eli-schwartz,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,69,10594806,erikdubois,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,52,5124946,wesinator,1970-01-01T01:00:00.000+01:00,2018-02-12T03:13:24.000+01:00
0,0.0189208128941836,2,0,0.5000758237705611,196.0,4.0,,7.089560006682247,,5,7,-0.42857142857142855,0.3489616273838191,,0,,,110,15126864,MASTERGUY,1970-01-01T01:00:00.000+01:00,2018-12-11T08:43:11.000+01:00
0,0.018878185208203852,2,1,0.41895177817737106,0.0,1.0,,5.576755736076946,0.0,0,2,1.0,0.2072564289567176,0.0,0,2,,4,325433,aaime,1970-01-01T01:00:00.000+01:00,2016-11-18T20:35:27.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,85,1997316,jsfan3,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,2,0,0.5568398078892247,192.0,3.0,,5.0830650601047225,,4,6,-0.3333333333333333,0.17705457150647452,,0,,,130,14379798,cronolio,1970-01-01T01:00:00.000+01:00,2017-02-10T11:43:54.000+01:00
0,0.018947368421052633,4,2,0.4164477446504595,444.297619047619,6.0,,6.151177620970446,0.0,7,11,-0.2727272727272727,0.2831887035216813,0.0,1,2,,16,12874678,starkgate,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019150445267554574,7,0,0.47871991940304814,105.3993006993007,5.0,,6.145961126620902,,13,20,-0.3,0.30755496508969804,,0,,,86,5296986,digimeas,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,47,26124850,Bundy01,1970-01-01T01:00:00.000+01:00,2019-04-01T01:55:46.000+02:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,115,1159908,vishwin,1970-01-01T01:00:00.000+01:00,2018-01-30T11:09:44.000+01:00
0,0.018866459627329194,1,1,0.5666765988726726,0.0,1.0,,6.478299452836522,0.0,0,1,1.0,0.35628794246404993,0.0,0,1,,29,18575218,mathieu-rossignol,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,138,4926997,tai-x,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019145918688937915,3,0,0.5620942833248682,26.069913419913433,3.0,,5.5271827510462055,,6,9,-0.3333333333333333,0.18822639844103858,,0,,,167,5039496,riksoft,1970-01-01T01:00:00.000+01:00,2017-12-13T02:01:52.000+01:00
0,0.004098360655737705,4,0,0.42963704689041604,0.0,1.0,,8.275624928052792,,4,8,0.0,0.31473148502658777,,0,,,98,102082,h4tr3d,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01916857300623176,3,2,0.21221073624081077,806.248484848485,8.0,,6.163636311099374,0.0,14,17,-0.6470588235294118,0.2282470080204212,0.0,1,2,,2,17322130,Cos-mo,1970-01-01T01:00:00.000+01:00,2018-03-09T16:11:26.000+01:00
0,0.018864994953807935,6,1,0.39324066968638705,0.0,1.0,,5.910015575747061,0.0,0,6,1.0,0.19835015388439659,0.0,0,5,,18,1421711,ziggurats,1970-01-01T01:00:00.000+01:00,2018-02-12T03:41:25.000+01:00
0,0.019141394249704607,1,0,0.5,192.0,3.0,,0.0,,3,4,-0.5,0.5,,0,,,142,4997950,JollyWizard,1970-01-01T01:00:00.000+01:00,2017-02-10T11:33:38.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,134,1320336,thorsummoner,1970-01-01T01:00:00.000+01:00,2017-03-09T10:05:55.000+01:00
3,0.019154973987072364,15,3,0.33223828591918014,198.50000000000003,4.0,,5.730083896116114,0.0,13,28,0.07142857142857142,0.299806540713237,0.0,2,7,,14,781030,haarp,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018602158769042334,1,0,0.5,383.0,4.0,,0.0,,4,5,-0.6,0.5,,0,,,6,37563017,Amandaville,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,113,50881474,Enjymon,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,3,0,0.2946481174999949,0.0,2.0,,5.464571079412958,,5,8,-0.25,0.33180966540937,,0,,,153,9961541,mitchellkrogza,1970-01-01T01:00:00.000+01:00,2019-05-25T16:12:09.000+02:00
0,0.018889925373134327,1,1,0.3630239124289885,0.0,1.0,,7.828411209966395,0.0,0,1,1.0,0.21231493087560574,0.0,0,1,,1,151380,hughsie,1970-01-01T01:00:00.000+01:00,2017-02-07T10:38:05.000+01:00
0,0.019153464175928114,2,0,0.5,88.46886446886444,3.0,,0.0,,4,6,-0.3333333333333333,0.5,,0,,,60,2862029,binarymist,1970-01-01T01:00:00.000+01:00,2018-06-17T05:05:16.000+02:00
5,0.019174623214708437,31,2,0.23995322763261234,601.5238095238096,8.0,,5.713869970287157,0.0,48,79,-0.21518987341772153,0.22528394169098745,0.0,5,2,,7,3487071,calexil,1970-01-01T01:00:00.000+01:00,2018-03-26T21:31:53.000+02:00
0,0.019141394249704607,2,0,0.3845508875610892,192.0,3.0,,6.3362995701467915,,5,7,-0.42857142857142855,0.2647311103502922,,0,,,35,5052362,R-a-l-f,1970-01-01T01:00:00.000+01:00,2018-03-09T16:11:26.000+01:00
0,0.018866459627329194,1,1,0.729033328590211,0.0,1.0,,6.255327628659431,0.0,0,1,1.0,0.18129773591147913,0.0,0,1,,13,4445745,SethosII,1970-01-01T01:00:00.000+01:00,2018-07-06T20:46:01.000+02:00
0,0.019138379144679845,2,0,0.06797651761201359,0.0,2.0,,7.97218289016686,,3,5,-0.2,0.26663239763189733,,0,,,43,153784,yuzhichang,1970-01-01T01:00:00.000+01:00,2017-06-03T10:21:09.000+02:00
0,0.018876718713586576,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,152,566306,kneekoo,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,2,0,0.5,0.0,2.0,,0.0,,5,7,-0.42857142857142855,0.5,,0,,,136,46024456,s44i7h-sam,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01888845705402254,1,1,0.5676342697859925,0.0,1.0,,3.354933532391685,,0,1,1.0,0.13939087588220878,,0,,,5,23623453,FistfulOfStars,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,2,0,0.40594227303502917,192.0,3.0,,6.4300072411936515,,4,6,-0.3333333333333333,0.2614398404155519,,0,,,19,12342773,windy32,1970-01-01T01:00:00.000+01:00,2016-09-19T07:50:08.000+02:00
0,0.019141394249704607,2,0,0.41248644965467474,85.73333333333332,3.0,,7.279727539795487,,6,8,-0.5,0.3008048264276345,,0,,,24,22988043,phantomxe,1970-01-01T01:00:00.000+01:00,2018-07-05T07:19:23.000+02:00
0,0.01887378640776699,2,2,0.5321079520668908,382.0,2.0,,6.5655198378972415,0.0,0,2,1.0,0.19109244155413516,0.0,0,2,,11,8640309,mrbesen,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018642117376294592,2,1,0.29441687611074807,0.0,2.0,,7.268942352260681,0.0,1,3,0.3333333333333333,0.329449507208069,0.0,0,1,,79,23616009,chingyinwan123,1970-01-01T01:00:00.000+01:00,2018-12-11T12:38:13.000+01:00
0,0.018711018711018712,3,0,0.4612888538861698,0.0,2.0,,4.6076697596867895,,5,8,-0.25,0.3187595474717599,,0,,,94,10817213,lucserre,1970-01-01T01:00:00.000+01:00,2018-11-19T18:55:49.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,108,958714,ven-u,1970-01-01T01:00:00.000+01:00,2018-08-19T20:40:02.000+02:00
1,0.01916403785488959,10,2,0.5075913752696268,406.9285714285715,6.0,,5.73444998336799,0.0,16,26,-0.23076923076923078,0.2778539279435338,0.0,3,2,,27,3799212,mcarans,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,1,0,0.5,192.0,3.0,,0.0,,3,4,-0.5,0.5,,0,,,22,944636,rcrath,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
