Betweenness centrality oscillation,Alter Nudges,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Alter ART [h],Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,Ego ART [h],avg emotionality,average influence per message,Contribution index oscillation,Ego Nudges,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,,0.009229957805907173,1,1,0.5,0.0,,1.0,,0.0,,0,1,1.0,,0.5,,0,,,,0,899189,posto,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.009230120079466938,3,2,0.8826708328838143,0.0,,3.0,,6.1540929950487655,0.0,1,4,0.5,,0.4963142936499695,0.0,1,,1,,240,5629836,tuuxx,1970-01-01T01:00:00.000+01:00,2019-07-22T21:21:02.000+02:00
0,,0.009226875692015676,3,0,0.5481012785047559,29.5710622710623,,4.0,,5.845046884418078,,9,12,-0.5,,0.25355039543224955,,0,,,,11,4416974,KickerTom,1970-01-01T01:00:00.000+01:00,2017-08-17T10:51:42.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,159,39649557,ClovisGauzy,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009224768062974417,3,0,0.326957065257313,418.0,,3.0,,7.476309563769245,,10,13,-0.5384615384615384,,0.22287335124203295,,0,,,,43,799021,KES777,1970-01-01T01:00:00.000+01:00,2018-01-30T08:59:15.000+01:00
0,,0.00919793966151582,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,59,1482512,jgottlander,1970-01-01T01:00:00.000+01:00,2019-11-20T08:03:35.000+01:00
1,,0.009233853946813001,8,0,0.4216802980486875,2.2,,5.0,,6.774463245940876,,21,29,-0.4482758620689655,,0.2887805296379155,,0,,,,210,8387383,uocxp,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,292,50522302,Fotobob1,1970-01-01T01:00:00.000+01:00,2019-05-23T22:54:54.000+02:00
0,,0.009167263266339555,1,1,0.2929214134486921,0.0,,1.0,,6.5220804992767185,0.0,0,1,1.0,,0.30530659009339206,0.0,0,,1,,2,835623,mattst,1970-01-01T01:00:00.000+01:00,2019-01-24T01:45:48.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,351,3332736,lossurdo,1970-01-01T01:00:00.000+01:00,2018-03-15T13:12:57.000+01:00
0,,0.009229957805907173,6,1,0.3756803126249613,0.0,,1.0,applet; bumblebee; nouveau; functionality; ,6.121463101665993,0.20614804799737507,0,6,1.0,,0.21849484882390763,0.05153701199934377,0,,4,applet; bumblebee; ,0,2914938,marmistrz,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
