Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Highlight as you type in Find hangs Xed,b4f921c0-4f6c-4c18-b396-e01bce39c063,3799212,3799212,2018-01-17T10:58:12.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,4,Still a problem in Mint 19.2.,COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",089cb946-4d21-4c27-b626-d7e52fc91c83,16303732,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,good idea. Thanks.,COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",e94560db-5642-490c-bae3-428279213793,12682937,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,"agree, this shortcuts are very useful.",COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",151f047f-11b9-4dc0-aa03-9b4cbbdc875d,30070187,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,"Nowadays, we're so used to navigating tabs with Ctrl+(Shift)+Tab because of our heavy use of web browsers, that we miss this functionality in applications with tabs that do not provide it. I've been using those key combos, out of habit, in xed so much without the expected result, that I just now decided it was time to post a feature request for it. Looks like someone beat me to it by a couple of months. I'm somewhat surprised that, so far, the issue has only gotten three thumbs up.",COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",76374834-5cdd-4b68-983c-1337414b7bbe,20516986,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,It could be a very useful feature. Especially for people who mostly use the keyboard. It is very unexpected that this feature request is not popular...,COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",5f7f6a95-f018-432e-9d07-82aef79ef02b,12874678,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,"More surprising that it hasn't been added yet. I switched to sublime text since then, xed is lacking in basic  features that should be there.",COMMENT
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",648fc38e-f225-4de2-b2b6-37b46795400e,3146494,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,6,"&gt;     * Ctrl-Shift-W to undo closing of a tab (it currently closes all tabs, apparently, which is not what I expected) Just wanted to point out that this closes all tabs in a browser as well. You might be thinking of Ctrl-Shift-T. At least, that's how it's always been in Firefox. ",COMMENT
Real (hard) lines wrapping,80fef51a-91ae-4a1c-88d9-5a153a2520a8,14296809,6018621,2018-01-12T17:07:01.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,1,"I would be really happy to see something like this in xed. However, I would prefer a shortcut where the selected text is hard re-wrapped according to the preference *Editor &gt; Display &gt; Right margin at column* `NNN`. If nothing is selected then the current paragraph should be re-wrapped. The re-wrapping works just like the console program `fmt -w NNN`.  &lt;sub&gt;I thought there was a plug-in which allowed you to send the selected text to custom shell scripts, but I cannot find it anymore. With this plug-in I could create at least the basic functionality of the desired shortcut myself.&lt;/sub&gt;  Why I prefer the shortcut over automatic wrapping: - Wrapping (parts of) an unwrapped file is easier. With automatic wrapping you have to type something in every line, delete that something, go to the next line and repeat. For re-wrapping short lines you also have to delete line breaks manually. - I often edit the same paragraph over and over. I think the continuous automatic wrapping would annoy me when editing. Wrapping the final version using the shortcut seems more pleasing to me.  Of course the best solution would be to have both: A shortcut for on-demand wrapping and a setting for automatic wrapping while typing.  -------  A big thank you to the authors for making xed! I really like the simplicity and desktop-agnosticism. ",COMMENT
Xed prevents system from suspending,fe3a038a-6eab-4530-ad6a-946ca8696e79,12819058,12682937,2017-12-29T02:59:37.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,1,"@vlad0337187, is this still an issue for you with Cinnamon 4.2 (xed 2.2.3)? ",COMMENT
Xed won't open new documents in existing editor window,5d2bf325-361a-4493-bb6f-697de8acd2c7,2231759,13141463,2017-12-11T22:43:27.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,3,I can't reproduce this on Ubuntu 18.04 with my dev branch. I'll have to retest later on Mint with xed 1.6,COMMENT
Xed won't open new documents in existing editor window,c169eb9b-c8b4-43ba-b678-b764e5384f31,13141463,13141463,2017-12-11T22:43:27.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,3,"Thank you. As I said in the original comment, it seemed as though it *was* opening documents in a new tab and then suddenly stopped.   I had been installing and uninstalling various packages around that time, but going back over my package manager's log, I don't see anything that would've caused that to change (and change in such a specific way).   There is no diagnostic output on stderr with the default debug settings.   Again, thanks for your help. Please let me know if there's anything I can do to help. ",COMMENT
Xed won't open new documents in existing editor window,3b9e5a68-e022-4e3a-bebc-1ea38c3cab6c,13141463,13141463,2017-12-11T22:43:27.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,3,"(When I say that installing/uninstalling things might have affected this, I mean that some gir package or something might have been uninstalled or something of the like, though again I didn't see anything obvious in the logs.)",COMMENT
